KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 1, "allocated_mib": 26, "reserved_mib": 908, "max_allocated_mib": 854, "max_reserved_mib": 908}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 2, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 3, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 4, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 5, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 6, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 7, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 8, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 9, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 10, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 11, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 12, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 13, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 14, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 15, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 16, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 17, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 18, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 19, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 20, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 21, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 22, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 23, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 24, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 25, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 26, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 27, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-resnet-fp16-b32-i224", "step": 28, "allocated_mib": 26, "reserved_mib": 910, "max_allocated_mib": 854, "max_reserved_mib": 910}
