KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 1, "allocated_mib": 24, "reserved_mib": 784, "max_allocated_mib": 703, "max_reserved_mib": 784}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 2, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 3, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 4, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 5, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 6, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 7, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 8, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 9, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 10, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 11, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 12, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 13, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 14, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 15, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
