KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 1, "allocated_mib": 2807, "reserved_mib": 3554, "max_allocated_mib": 3443, "max_reserved_mib": 3554}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 2, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 3, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 4, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 5, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 6, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 7, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 8, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 9, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 10, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 11, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 12, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 13, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-gpt-fp32-ckpt0-b2-s1024", "step": 14, "allocated_mib": 2807, "reserved_mib": 4400, "max_allocated_mib": 4020, "max_reserved_mib": 4400}
