KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-t5-fp16-ckpt1-b4-s512", "step": 1, "allocated_mib": 850, "reserved_mib": 1050, "max_allocated_mib": 1027, "max_reserved_mib": 1050}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-t5-fp16-ckpt1-b4-s512", "step": 2, "allocated_mib": 851, "reserved_mib": 1428, "max_allocated_mib": 1073, "max_reserved_mib": 1428}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-t5-fp16-ckpt1-b4-s512", "step": 3, "allocated_mib": 851, "reserved_mib": 1428, "max_allocated_mib": 1073, "max_reserved_mib": 1428}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-t5-fp16-ckpt1-b4-s512", "step": 4, "allocated_mib": 851, "reserved_mib": 1428, "max_allocated_mib": 1073, "max_reserved_mib": 1428}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-t5-fp16-ckpt1-b4-s512", "step": 5, "allocated_mib": 851, "reserved_mib": 1428, "max_allocated_mib": 1073, "max_reserved_mib": 1428}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-t5-fp16-ckpt1-b4-s512", "step": 6, "allocated_mib": 851, "reserved_mib": 1428, "max_allocated_mib": 1073, "max_reserved_mib": 1428}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-t5-fp16-ckpt1-b4-s512", "step": 7, "allocated_mib": 851, "reserved_mib": 1428, "max_allocated_mib": 1073, "max_reserved_mib": 1428}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-t5-fp16-ckpt1-b4-s512", "step": 8, "allocated_mib": 851, "reserved_mib": 1428, "max_allocated_mib": 1073, "max_reserved_mib": 1428}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-t5-fp16-ckpt1-b4-s512", "step": 9, "allocated_mib": 851, "reserved_mib": 1428, "max_allocated_mib": 1073, "max_reserved_mib": 1428}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-t5-fp16-ckpt1-b4-s512", "step": 10, "allocated_mib": 851, "reserved_mib": 1428, "max_allocated_mib": 1073, "max_reserved_mib": 1428}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-t5-fp16-ckpt1-b4-s512", "step": 11, "allocated_mib": 851, "reserved_mib": 1428, "max_allocated_mib": 1073, "max_reserved_mib": 1428}
