KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 1, "allocated_mib": 7160, "reserved_mib": 7964, "max_allocated_mib": 7893, "max_reserved_mib": 7964}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 2, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 3, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 4, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 5, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 6, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 7, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 8, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 9, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 10, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 11, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 12, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 13, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 14, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-pressure-gpt-fp16-pad4g", "step": 15, "allocated_mib": 7161, "reserved_mib": 8462, "max_allocated_mib": 7893, "max_reserved_mib": 8462}
