KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 1, "allocated_mib": 25592, "reserved_mib": 26396, "max_allocated_mib": 26325, "max_reserved_mib": 26396}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 2, "allocated_mib": 25593, "reserved_mib": 26894, "max_allocated_mib": 26325, "max_reserved_mib": 26894}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 3, "allocated_mib": 25593, "reserved_mib": 26894, "max_allocated_mib": 26325, "max_reserved_mib": 26894}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 4, "allocated_mib": 25593, "reserved_mib": 26894, "max_allocated_mib": 26325, "max_reserved_mib": 26894}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 5, "allocated_mib": 25593, "reserved_mib": 26894, "max_allocated_mib": 26325, "max_reserved_mib": 26894}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 6, "allocated_mib": 25593, "reserved_mib": 26894, "max_allocated_mib": 26325, "max_reserved_mib": 26894}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 7, "allocated_mib": 25593, "reserved_mib": 26894, "max_allocated_mib": 26325, "max_reserved_mib": 26894}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 8, "allocated_mib": 25593, "reserved_mib": 26894, "max_allocated_mib": 26325, "max_reserved_mib": 26894}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 9, "allocated_mib": 25593, "reserved_mib": 26894, "max_allocated_mib": 26325, "max_reserved_mib": 26894}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 10, "allocated_mib": 25593, "reserved_mib": 26894, "max_allocated_mib": 26325, "max_reserved_mib": 26894}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 11, "allocated_mib": 25593, "reserved_mib": 26894, "max_allocated_mib": 26325, "max_reserved_mib": 26894}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-pressure-gpt-fp16-pad22g", "step": 12, "allocated_mib": 25593, "reserved_mib": 26894, "max_allocated_mib": 26325, "max_reserved_mib": 26894}
